altitude_km,energy_eV,probability_density_eV-1,spectral_production_cm-3_s-1_eV-1
101.25,1.4875,0.5958000000000021,751.4374966170856
101.25,1.5125000000000002,0.6151999999999967,775.9052499476787
101.25,1.5375,0.6474000000000023,816.5166755788877
101.25,1.5625,0.6265999999999966,790.2832080904022
101.25,1.5875000000000001,0.5922000000000022,746.8970887825413
101.25,1.6125,0.547600000000002,690.6464806101311
101.25,1.6375000000000002,0.4604999999999976,580.793835502123
101.25,1.6625,0.4129000000000015,520.7595541342642
101.25,1.6875,0.3359999999999982,423.7713978907998
101.25,1.7125000000000001,0.26190000000000097,330.3146699630996
101.25,1.7375,0.1983000000000007,250.10079821948318
101.25,1.7625000000000002,0.14279999999999923,180.10284410358992
101.25,1.7875,0.10340000000000037,130.41060280330086
101.25,1.8125,0.0754999999999996,95.2224420855815
101.25,1.8375000000000001,0.049200000000000174,62.05224040543909
101.25,1.8625,0.03580000000000012,45.15183346574633
101.25,1.8875000000000002,0.019799999999999894,24.972243089993558
101.25,1.9125,0.014000000000000049,17.65714157878348
101.25,1.9375,0.009799999999999948,12.359999105148328
101.25,1.9625000000000001,0.007000000000000024,8.82857078939174
101.25,1.9875,0.004700000000000017,5.927754672877311
101.25,2.0125,0.007500000000000027,9.459182988634009
101.25,2.0375,0.008799999999999876,11.098774706663706
101.25,2.0625,0.016400000000000057,20.684080135146363
101.25,2.0875000000000004,0.029000000000000102,36.5755075560515
101.25,2.1125,0.03960000000000014,49.944486179987564
101.25,2.1375,0.058300000000000206,73.52938243164836
101.25,2.1625,0.09209999999999868,116.15876710042355
101.25,2.1875,0.12780000000000044,161.18447812632348
101.25,2.2125000000000004,0.18090000000000062,228.15549368585224
101.25,2.2375,0.24890000000000087,313.9187527828006
101.25,2.2625,0.3116000000000011,392.99752256778095
101.25,2.2875,0.39889999999999437,503.1024125554719
101.25,2.3125,0.5117000000000018,645.3685247045363
101.25,2.3375000000000004,0.6107000000000021,770.2297401545052
101.25,2.3625,0.7337000000000027,925.360341168103
101.25,2.3875,0.837799999999988,1056.653801050324
101.25,2.4125000000000005,0.9348000000000033,1178.9925677033427
101.25,2.4375,1.0381000000000036,1309.277048066795
101.25,2.4625000000000004,1.071300000000004,1351.1496980964819
101.25,2.4875,1.133400000000004,1429.4717332423713
101.25,2.5125,1.1629999999999834,1466.8039754374875
101.25,2.5375000000000005,1.1611000000000042,1464.4076490803932
101.25,2.5625,1.1105000000000038,1400.5896945170753
101.25,2.5875000000000004,1.0561000000000038,1331.979087239517
101.25,2.6125,0.9825000000000035,1239.152971511055
101.25,2.6375,0.8838999999999874,1114.7962458204602
101.25,2.6625000000000005,0.8009000000000028,1010.1146207462637
101.25,2.6875,0.6901000000000025,870.3709573941773
101.25,2.7125000000000004,0.575100000000002,725.3301515684558
101.25,2.7375,0.4887000000000017,616.3603635393919
