altitude_km,energy_eV,branch_probability,total_hot_O_production_cm-3_s-1,branch_hot_O_production_cm-3_s-1
201.25,0.415,0.058,15.520184193651835,0.9001706832318065
203.75,0.415,0.058,13.074112094345432,0.7582985014720351
206.25,0.415,0.058,11.07385519590727,0.6422836013626217
208.75,0.415,0.058,9.429375932020825,0.5469038040572078
211.25,0.415,0.058,8.070236211119928,0.46807370024495587
213.75,0.415,0.058,6.941555747858159,0.40261023337577323
216.25,0.415,0.058,6.000202105450508,0.34801172211612946
218.75,0.415,0.058,5.211616583629703,0.3022737618505228
221.25,0.415,0.058,4.548112473490357,0.2637905234624407
223.75,0.415,0.058,3.9880757221743455,0.23130839188611205
226.25,0.415,0.058,3.5135460118770063,0.20378566868886638
228.75,0.415,0.058,3.110277414475083,0.18039609003955484
231.25,0.415,0.058,2.7667531493080237,0.1604716826598654
233.75,0.415,0.058,2.4734889519783274,0.14346235921474298
236.25,0.415,0.058,2.2228942607694457,0.12892786712462787
238.75,0.415,0.058,2.008951174146752,0.11651916810051162
241.25,0.415,0.058,1.8269081123746664,0.10596067051773066
243.75,0.415,0.058,1.673348775483958,0.09705422897806956
246.25,0.415,0.058,1.5460625213966888,0.08967162624100795
248.75,0.415,0.058,1.4438938640370163,0.08374584411414694
251.25,0.415,0.058,1.3654034802564725,0.0791934018548754
98.75,1.53,0.204,859.1013608377896,175.25667761090907
101.25,1.53,0.204,1261.22439848453,257.2897772908441
103.75,1.53,0.204,1656.7773981711994,337.98258922692463
106.25,1.53,0.204,2234.2687066629815,455.7908161592482
108.75,1.53,0.204,3386.500932085047,690.8461901453496
111.25,1.53,0.204,5487.795582324945,1119.5102987942887
113.75,1.53,0.204,8583.141169359298,1750.9607985492967
116.25,1.53,0.204,12087.92088891377,2465.935861338409
118.75,1.53,0.204,15049.472633525169,3070.092417239134
121.25,1.53,0.204,17055.67210410533,3479.3571092374873
123.75,1.53,0.204,16689.254628294,3404.6079441719753
126.25,1.53,0.204,15037.250724060083,3067.5991477082566
128.75,1.53,0.204,12871.628263046035,2625.812165661391
131.25,1.53,0.204,10640.231728439136,2170.6072726015836
133.75,1.53,0.204,8648.850480090014,1764.3654979383628
136.25,1.53,0.204,6932.028561571245,1414.1338265605339
138.75,1.53,0.204,5533.910395100342,1128.9177206004697
141.25,1.53,0.204,4395.551697330553,896.6925462554327
143.75,1.53,0.204,3496.884072068174,713.3643507019075
146.25,1.53,0.204,2778.2403835179275,566.7610382376572
148.75,1.53,0.204,2203.612171640225,449.53688301460585
151.25,1.53,0.204,1741.7002262964997,355.30684616448593
153.75,1.53,0.204,1374.158460053368,280.32832585088704
156.25,1.53,0.204,1073.4865116949923,218.99124838577842
158.75,1.53,0.204,831.6408674988777,169.65473696977105
161.25,1.53,0.204,639.622962083383,130.48308426501012
163.75,1.53,0.204,489.3366755393626,99.82468181002996
166.25,1.53,0.204,373.9553991584395,76.28690142832166
168.75,1.53,0.204,286.58757239238406,58.46386476804634
171.25,1.53,0.204,220.87523985660732,45.05854893074789
173.75,1.53,0.204,171.5121852366805,34.988485788282816
176.25,1.53,0.204,134.2977331045725,27.396737553332787
178.75,1.53,0.204,106.05571532532932,21.63536592636718
181.25,1.53,0.204,83.93324446983823,17.122381871846997
183.75,1.53,0.204,66.26742447790488,13.518554593492595
186.25,1.53,0.204,52.66693832612046,10.744055418528573
188.75,1.53,0.204,42.15823344489921,8.60027962275944
191.25,1.53,0.204,33.996420043761205,6.935269688927286
193.75,1.53,0.204,27.61608975230238,5.633682309469685
196.25,1.53,0.204,22.595470302544307,4.6094759417190385
198.75,1.53,0.204,18.617616831008625,3.7979938335257595
201.25,1.53,0.204,15.520184193651835,3.166117575504974
203.75,1.53,0.204,13.074112094345432,2.667118867246468
206.25,1.53,0.204,11.07385519590727,2.259066459965083
208.75,1.53,0.204,9.429375932020825,1.9235926901322482
211.25,1.53,0.204,8.070236211119928,1.6463281870684652
213.75,1.53,0.204,6.941555747858159,1.4160773725630642
216.25,1.53,0.204,6.000202105450508,1.2240412295119034
218.75,1.53,0.204,5.211616583629703,1.0631697830604594
221.25,1.53,0.204,4.548112473490357,0.9278149445920327
223.75,1.53,0.204,3.9880757221743455,0.8135674473235665
226.25,1.53,0.204,3.5135460118770063,0.7167633864229093
228.75,1.53,0.204,3.110277414475083,0.6344965925529169
231.25,1.53,0.204,2.7667531493080237,0.5644176424588369
233.75,1.53,0.204,2.4734889519783274,0.5045917462035787
236.25,1.53,0.204,2.2228942607694457,0.4534704291969669
238.75,1.53,0.204,2.008951174146752,0.4098260395259373
241.25,1.53,0.204,1.8269081123746664,0.37268925492443195
243.75,1.53,0.204,1.673348775483958,0.3413631501987274
246.25,1.53,0.204,1.5460625213966888,0.3153967543649245
248.75,1.53,0.204,1.4438938640370163,0.2945543482635513
251.25,1.53,0.204,1.3654034802564725,0.2785423099723204
98.75,2.51,0.473,859.1013608377896,406.35494367627444
101.25,2.51,0.473,1261.22439848453,596.5591404831827
103.75,2.51,0.473,1656.7773981711994,783.6557093349772
106.25,2.51,0.473,2234.2687066629815,1056.8090982515903
108.75,2.51,0.473,3386.500932085047,1601.8149408762272
111.25,2.51,0.473,5487.795582324945,2595.7273104396986
113.75,2.51,0.473,8583.141169359298,4059.825773106948
116.25,2.51,0.473,12087.92088891377,5717.586580456213
118.75,2.51,0.473,15049.472633525169,7118.400555657405
121.25,2.51,0.473,17055.67210410533,8067.332905241821
123.75,2.51,0.473,16689.254628294,7894.017439183061
126.25,2.51,0.473,15037.250724060083,7112.619592480419
128.75,2.51,0.473,12871.628263046035,6088.280168420774
131.25,2.51,0.473,10640.231728439136,5032.829607551711
133.75,2.51,0.473,8648.850480090014,4090.9062770825763
136.25,2.51,0.473,6932.028561571245,3278.8495096231986
138.75,2.51,0.473,5533.910395100342,2617.5396168824614
141.25,2.51,0.473,4395.551697330553,2079.0959528373514
143.75,2.51,0.473,3496.884072068174,1654.0261660882463
146.25,2.51,0.473,2778.2403835179275,1314.1077014039797
148.75,2.51,0.473,2203.612171640225,1042.3085571858264
151.25,2.51,0.473,1741.7002262964997,823.8242070382444
153.75,2.51,0.473,1374.158460053368,649.976951605243
