altitude_km,energy_eV,probability_density_eV-1,spectral_production_cm-3_s-1_eV-1
101.25,1.1375000000000002,0.004599999999999976,5.8016322330288075
101.25,1.1625,0.004800000000000017,6.053877112725766
101.25,1.1875,0.008199999999999956,10.34204006757309
101.25,1.2125000000000001,0.015500000000000054,19.548978176510282
101.25,1.2375,0.02560000000000009,32.28734460120408
101.25,1.2625000000000002,0.0382999999999998,48.30489446195725
101.25,1.2875,0.06550000000000024,82.61019810073701
101.25,1.3125,0.09539999999999949,120.3208076154235
101.25,1.3375000000000001,0.1416000000000005,178.5893748254101
101.25,1.3625,0.18830000000000066,237.48855423463783
101.25,1.3875000000000002,0.2458999999999987,310.1350795873443
101.25,1.4125,0.31910000000000116,402.456705556415
101.25,1.4375,0.3887999999999979,490.36404613078264
101.25,1.4625000000000001,0.44460000000000155,560.740367566224
101.25,1.4875,0.49760000000000176,627.5852606859044
101.25,1.5125000000000002,0.5314999999999972,670.3407677945241
101.25,1.5375,0.5423000000000019,683.961991298163
101.25,1.5625,0.5463999999999971,689.1330113319435
101.25,1.5875000000000001,0.5275000000000019,665.2958702005919
101.25,1.6125,0.48800000000000177,615.4775064604529
101.25,1.6375000000000002,0.4492999999999976,566.6681222390963
101.25,1.6625,0.4004000000000014,504.9942491532076
101.25,1.6875,0.3352999999999982,422.88854081186065
101.25,1.7125000000000001,0.28830000000000106,363.6109940830913
101.25,1.7375,0.23690000000000083,298.7840600009862
101.25,1.7625000000000002,0.19689999999999894,248.3350840616026
101.25,1.7875,0.15770000000000056,198.8950876410111
101.25,1.8125,0.1356999999999993,171.14815087434982
101.25,1.8375000000000001,0.11010000000000039,138.86080627314723
101.25,1.8625,0.09490000000000035,119.69019541618233
101.25,1.8875000000000002,0.08409999999999956,106.06897191254842
101.25,1.9125,0.07060000000000026,89.04244253300814
101.25,1.9375,0.06179999999999967,77.94366782634353
101.25,1.9625000000000001,0.055300000000000196,69.74570923619476
101.25,1.9875,0.05140000000000018,64.82693408210507
101.25,2.0125,0.052200000000000184,65.8359136008927
101.25,2.0375,0.04709999999999933,59.40366916862052
101.25,2.0625,0.04720000000000017,59.529791608470035
101.25,2.0875000000000004,0.054000000000000194,68.10611751816487
101.25,2.1125,0.05990000000000021,75.54734146922361
101.25,2.1375,0.07090000000000025,89.42080985255349
101.25,2.1625,0.09439999999999867,119.05958321693794
101.25,2.1875,0.12610000000000043,159.0403966488998
101.25,2.2125000000000004,0.16050000000000056,202.42651595676776
101.25,2.2375,0.21080000000000076,265.8661032005399
101.25,2.2625,0.265300000000001,334.602832917947
101.25,2.2875,0.34659999999999513,437.14037651473194
101.25,2.3125,0.4264000000000015,537.7860835138055
101.25,2.3375000000000004,0.5131000000000019,647.1342388624147
101.25,2.3625,0.6106000000000023,770.1036177146568
101.25,2.3875,0.6967999999999902,878.8211608640081
101.25,2.4125000000000005,0.7955000000000028,1003.304008994447
101.25,2.4375,0.8741000000000031,1102.4362467153314
101.25,2.4625000000000004,0.9425000000000033,1188.7039955716737
101.25,2.4875,0.9851000000000035,1242.432154947115
101.25,2.5125,1.0088999999999857,1272.4492956310241
101.25,2.5375000000000005,1.0188000000000037,1284.9354171760438
101.25,2.5625,1.0162000000000035,1281.656233739984
101.25,2.5875000000000004,0.9694000000000035,1222.6309318909077
101.25,2.6125,0.9127000000000033,1151.1195084968347
101.25,2.6375,0.8595999999999877,1084.1484929372864
101.25,2.6625000000000005,0.7742000000000028,976.4399293067266
101.25,2.6875,0.7081000000000025,893.0729965668988
101.25,2.7125000000000004,0.6258000000000022,789.2742285716216
101.25,2.7375,0.5524000000000019,696.7003577228568
101.25,2.7625,0.4666999999999934,588.6134267727218
101.25,2.7875000000000005,0.40210000000000146,507.13833063063134
101.25,2.8125,0.3356000000000012,423.26690813140976
101.25,2.8375000000000004,0.30080000000000107,379.37629906414793
101.25,2.8625,0.2590000000000009,326.65711920749436
101.25,2.8875,0.2242999999999968,282.89263258007605
101.25,2.9125000000000005,0.18830000000000066,237.48855423463783
101.25,2.9375,0.16080000000000058,202.80488327631315
101.25,2.9625000000000004,0.1438000000000005,181.36406850207607
101.25,2.9875,0.13060000000000047,164.7159064420802
101.25,3.0125,0.12439999999999823,156.8963151714733
101.25,3.0375000000000005,0.11200000000000039,141.25713263026785
101.25,3.0625,0.10610000000000037,133.8159086792091
101.25,3.0875000000000004,0.11790000000000042,148.6983565813266
101.25,3.1125,0.1151000000000004,145.1669282655699
101.25,3.1375,0.12179999999999827,153.61713173541358
101.25,3.1625000000000005,0.13370000000000049,168.62570207738227
101.25,3.1875,0.15080000000000054,190.1926392914678
101.25,3.2125000000000004,0.17910000000000062,225.8852897685801
101.25,3.2375,0.2010000000000007,253.5061040953914
101.25,3.2625,0.23479999999999668,296.1354887641634
101.25,3.2875000000000005,0.26450000000000096,333.5938533991594
101.25,3.3125,0.30280000000000107,381.89874786111704
101.25,3.3375000000000004,0.32380000000000114,408.38446022929224
101.25,3.3625,0.3696000000000013,466.14853767988393
101.25,3.3875,0.4104999999999942,517.7326155778923
101.25,3.4125000000000005,0.4485000000000016,565.6591427203138
101.25,3.4375,0.4536000000000016,572.0913871525848
101.25,3.4625000000000004,0.4731000000000017,596.6852629230333
101.25,3.4875,0.49450000000000177,623.6754650506023
101.25,3.5125,0.5252999999999926,662.5211765239142
101.25,3.5375000000000005,0.49510000000000176,624.432199689693
101.25,3.5625,0.4879000000000017,615.3513840206043
101.25,3.5875000000000004,0.4746000000000017,598.57709952076
101.25,3.6125,0.44860000000000155,565.7852651601621
101.25,3.6375,0.423799999999994,534.5069000777362
101.25,3.6625000000000005,0.3989000000000014,503.1024125554808
101.25,3.6875,0.3589000000000013,452.6534366160994
101.25,3.7125000000000004,0.3259000000000012,411.03303146610983
101.25,3.7375,0.295700000000001,372.9440546318768
101.25,3.7625,0.2642999999999962,333.3416085194565
